0,74009,TAMPINES NTH INT,TAMPINES ST 62,
0,75541,OPP BLK 648A,TAMPINES ST 62,
0,75551,BLK 641A,TAMPINES ST 62,
0,75571,BLK 637B,TAMPINES NTH DR 2,
0,76559,AFT TAMPINES STN EXIT E,TAMPINES CTRL 1,
0,76149,OPP TAMPINES STN/INT,TAMPINES AVE 4,
0,75179,BLK 871C,TAMPINES AVE 5,
0,75419,AFT TAMPINES AVE 5,TAMPINES AVE 10,
0,75041,BLK 875B,TAMPINES STREET 86,
0,75021,BLK 879B,TAMPINES STREET 86,
0,75251,OPP TROPICA CONDO,TAMPINES AVE 1,
0,76141,TAMPINES STN/INT,TAMPINES AVE 4,
0,76551,TAMPINES STN EXIT D,TAMPINES CTRL 1,
0,75579,BLK 630B,TAMPINES NTH DR 2,
0,75559,BLK 646B,TAMPINES ST 62,
0,75549,BLK 648A,TAMPINES ST 62,
0,74009,TAMPINES NTH INT,TAMPINES ST 62,
